id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;1;GRUPO II;EMBRAPA SOJA;BRS 1006 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;1;GRUPO I;EMBRAPA SOJA;BRS 1007 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;1;GRUPO I;EMBRAPA SOJA;BRS 1010 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2;GRUPO II;EMBRAPA SOJA;BRS 1074 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;1;GRUPO II;EMBRAPA SOJA;BRS 133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;1;GRUPO II;EMBRAPA SOJA;BRS 184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;1;GRUPO II;EMBRAPA SOJA;BRS 185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;GRUPO II;EMBRAPA SOJA;BRS 216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;1;GRUPO II;EMBRAPA SOJA;BRS 232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;1;GRUPO III;EMBRAPA SOJA;BRS 245 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;1;GRUPO III;EMBRAPA SOJA;BRS 256 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;1;GRUPO II;EMBRAPA SOJA;BRS 257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;1;GRUPO II;EMBRAPA SOJA;BRS 262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;1;GRUPO III;EMBRAPA SOJA;BRS 267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;1;GRUPO II;EMBRAPA SOJA;BRS 282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;1;GRUPO II;EMBRAPA SOJA;BRS 283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
